time	V(out)
Step Information: C6_value=100f  (Step: 1/10)
2.466345358799923e-07	-8.719997e-01
2.586345358799926e-07	-8.497034e-01
2.696345358799929e-07	-8.288813e-01
2.786345358799931e-07	-8.117080e-01
2.866345358799932e-07	-7.964265e-01
2.926345358799934e-07	-7.849979e-01
2.966345358799935e-07	-7.774094e-01
2.996345358799935e-07	-7.717397e-01
3.016345358799936e-07	-7.679721e-01
3.036345358799936e-07	-7.642151e-01
3.076345358799937e-07	-7.567372e-01
3.136345358799938e-07	-7.456231e-01
3.206345358799940e-07	-7.328395e-01
3.296345358799942e-07	-7.167442e-01
3.356345358799943e-07	-7.062563e-01
3.396345358799944e-07	-6.993822e-01
3.446345358799945e-07	-6.909305e-01
3.516345358799947e-07	-6.793762e-01
3.606345358799949e-07	-6.650272e-01
3.716345358799951e-07	-6.483124e-01
3.836345358799954e-07	-6.311667e-01
3.976345358799957e-07	-6.126556e-01
4.126345358799960e-07	-5.946406e-01
4.296345358799964e-07	-5.764915e-01
4.476345358799968e-07	-5.598298e-01
4.646345358799972e-07	-5.463850e-01
4.816345358799973e-07	-5.350126e-01
4.976345358799969e-07	-5.260502e-01
5.136345358799964e-07	-5.186271e-01
5.296345358799959e-07	-5.126026e-01
5.446345358799954e-07	-5.081111e-01
5.596345358799949e-07	-5.046467e-01
5.736345358799945e-07	-5.022764e-01
5.876345358799941e-07	-5.006968e-01
5.996345358799937e-07	-4.999526e-01
6.096345358799934e-07	-4.997574e-01
6.236345358799930e-07	-5.001367e-01
6.406345358799925e-07	-5.016468e-01
6.576345358799919e-07	-5.043674e-01
6.736345358799914e-07	-5.081137e-01
6.886345358799910e-07	-5.127545e-01
7.026345358799905e-07	-5.181499e-01
7.156345358799901e-07	-5.241479e-01
7.266345358799898e-07	-5.300140e-01
7.416345358799893e-07	-5.392537e-01
7.536345358799890e-07	-5.477326e-01
7.626345358799887e-07	-5.547554e-01
7.686345358799885e-07	-5.597632e-01
7.736345358799884e-07	-5.641396e-01
7.796345358799882e-07	-5.696391e-01
7.876345358799879e-07	-5.773993e-01
7.976345358799876e-07	-5.877985e-01
8.086345358799873e-07	-6.001507e-01
8.206345358799869e-07	-6.147330e-01
8.336345358799865e-07	-6.318463e-01
8.456345358799862e-07	-6.488606e-01
8.556345358799858e-07	-6.639276e-01
8.646345358799856e-07	-6.781710e-01
8.716345358799854e-07	-6.896907e-01
8.766345358799852e-07	-6.981524e-01
8.796345358799851e-07	-7.033215e-01
8.846345358799850e-07	-7.120886e-01
8.916345358799847e-07	-7.246766e-01
9.016345358799844e-07	-7.432795e-01
9.136345358799841e-07	-7.665286e-01
9.296345358799836e-07	-7.990034e-01
9.496345358799830e-07	-8.417439e-01
9.696345358799840e-07	-8.865349e-01
9.896345358799855e-07	-9.329712e-01
9.986345358799862e-07	-9.542872e-01
1.018634535879988e-06	-1.002313e+00
1.029634535879989e-06	-1.028976e+00
1.049634535879990e-06	-1.077583e+00
1.069634535879992e-06	-1.125933e+00
1.089634535879993e-06	-1.173535e+00
1.109634535879995e-06	-1.219912e+00
1.129634535879996e-06	-1.264609e+00
1.149634535879998e-06	-1.307208e+00
1.169634535879999e-06	-1.347326e+00
1.191634535880001e-06	-1.388193e+00
1.213634535880002e-06	-1.425278e+00
1.235634535880004e-06	-1.458283e+00
1.256634535880006e-06	-1.485780e+00
1.277634535880007e-06	-1.509239e+00
1.298634535880009e-06	-1.528605e+00
1.319634535880010e-06	-1.543883e+00
1.339634535880012e-06	-1.554691e+00
1.358634535880013e-06	-1.561670e+00
1.377634535880015e-06	-1.565563e+00
1.395634535880016e-06	-1.566538e+00
1.413634535880017e-06	-1.565019e+00
1.431634535880019e-06	-1.561165e+00
1.449634535880020e-06	-1.555148e+00
1.466634535880021e-06	-1.547644e+00
1.483634535880023e-06	-1.538530e+00
1.500634535880024e-06	-1.527968e+00
1.517634535880025e-06	-1.516121e+00
1.534634535880026e-06	-1.503148e+00
1.551634535880028e-06	-1.489209e+00
1.568634535880029e-06	-1.474457e+00
1.586634535880030e-06	-1.458116e+00
1.604634535880032e-06	-1.441199e+00
1.622634535880033e-06	-1.423863e+00
1.640634535880034e-06	-1.406258e+00
1.659634535880036e-06	-1.387532e+00
1.680634535880037e-06	-1.366839e+00
1.707634535880039e-06	-1.340510e+00
1.742634535880042e-06	-1.307324e+00
1.786634535880045e-06	-1.267880e+00
1.833634535880049e-06	-1.229319e+00
1.874634535880052e-06	-1.199084e+00
1.912634535880055e-06	-1.174013e+00
1.947634535880057e-06	-1.153416e+00
1.980634535880060e-06	-1.136117e+00
2.012634535880062e-06	-1.121210e+00
2.022634535880063e-06	-1.116911e+00
2.052634535880065e-06	-1.104989e+00
2.080634535880067e-06	-1.095109e+00
2.107634535880069e-06	-1.086639e+00
2.133634535880071e-06	-1.079391e+00
2.158634535880073e-06	-1.073197e+00
2.182634535880075e-06	-1.067910e+00
2.205634535880077e-06	-1.063402e+00
2.227634535880078e-06	-1.059562e+00
2.248634535880080e-06	-1.056294e+00
2.268634535880081e-06	-1.053516e+00
2.287634535880083e-06	-1.051155e+00
2.305634535880084e-06	-1.049152e+00
2.322634535880085e-06	-1.047452e+00
2.338634535880087e-06	-1.046012e+00
2.354634535880088e-06	-1.044717e+00
2.369634535880089e-06	-1.043624e+00
2.383634535880090e-06	-1.042704e+00
2.396634535880091e-06	-1.041930e+00
2.408634535880092e-06	-1.041280e+00
2.419634535880093e-06	-1.040736e+00
2.430634535880094e-06	-1.040239e+00
2.440634535880094e-06	-1.039825e+00
2.449634535880095e-06	-1.039482e+00
2.457634535880096e-06	-1.039199e+00
2.464634535880096e-06	-1.038969e+00
2.471634535880097e-06	-1.038753e+00
2.479634535880097e-06	-1.038524e+00
2.488634535880098e-06	-1.038287e+00
2.498634535880099e-06	-1.038049e+00
2.510634535880100e-06	-1.037796e+00
2.523634535880101e-06	-1.037560e+00
2.537634535880102e-06	-1.037345e+00
2.553634535880103e-06	-1.037146e+00
2.570634535880104e-06	-1.036983e+00
2.589634535880106e-06	-1.036852e+00
2.610634535880107e-06	-1.036764e+00
2.633634535880109e-06	-1.036723e+00
2.659634535880111e-06	-1.036734e+00
2.689634535880113e-06	-1.036805e+00
2.727634535880116e-06	-1.036957e+00
2.783634535880120e-06	-1.037250e+00
2.869634535880127e-06	-1.037728e+00
2.917634535880130e-06	-1.037965e+00
2.959634535880133e-06	-1.038144e+00
2.998634535880136e-06	-1.038284e+00
3.037634535880139e-06	-1.038400e+00
3.046634535880140e-06	-1.038423e+00
3.085634535880143e-06	-1.038510e+00
3.126634535880146e-06	-1.038581e+00
3.169634535880149e-06	-1.038636e+00
3.216634535880153e-06	-1.038676e+00
3.270634535880157e-06	-1.038704e+00
3.334634535880162e-06	-1.038719e+00
3.417634535880168e-06	-1.038718e+00
3.543634535880177e-06	-1.038695e+00
3.838634535880190e-06	-1.038623e+00
4.030634535880123e-06	-1.038595e+00
4.070634535880109e-06	-1.038591e+00
4.356634535880009e-06	-1.038579e+00
4.999634535879785e-06	-1.038580e+00
5.000000000000000e-06	-1.038580e+00
Step Information: C6_value=200f  (Step: 2/10)
0.000000000000000e+00	-1.038822e+00
9.999999824516700e-15	-1.038823e+00
1.999999964903340e-14	-1.038823e+00
3.999999929806680e-14	-1.038823e+00
7.999999859613360e-14	-1.038822e+00
1.599999971922672e-13	-1.038822e+00
3.199999943845344e-13	-1.038822e+00
6.399999887690688e-13	-1.038822e+00
1.279999977538138e-12	-1.038822e+00
2.559999955076275e-12	-1.038822e+00
5.119999910152551e-12	-1.038822e+00
1.023999982030510e-11	-1.038822e+00
2.033304599413617e-11	-1.038822e+00
2.968112475064629e-11	-1.038822e+00
4.389920124599035e-11	-1.038822e+00
6.035099252893437e-11	-1.038822e+00
9.325457509482241e-11	-1.038822e+00
1.590617402265985e-10	-1.038822e+00
2.508167055774331e-10	-1.038822e+00
4.114375599013257e-10	-1.038822e+00
6.998586519681769e-10	-1.038822e+00
1.000000000000000e-09	-1.038822e+00
1.030014134803182e-09	-1.038822e+00
1.090042404409547e-09	-1.038822e+00
1.210098943622276e-09	-1.038822e+00
1.325736103318473e-09	-1.038822e+00
1.545030592024916e-09	-1.038822e+00
1.930854665859691e-09	-1.038822e+00
2.519972268715125e-09	-1.038822e+00
3.519972268715126e-09	-1.038822e+00
4.519972268715126e-09	-1.038822e+00
5.519972268715125e-09	-1.038822e+00
6.519972268715125e-09	-1.038822e+00
7.519972268715126e-09	-1.038822e+00
8.519972268715127e-09	-1.038822e+00
9.519972268715127e-09	-1.038822e+00
1.051997226871513e-08	-1.038822e+00
1.151997226871513e-08	-1.038823e+00
1.251997226871513e-08	-1.038823e+00
1.351997226871513e-08	-1.038823e+00
1.451997226871513e-08	-1.038823e+00
1.551997226871513e-08	-1.038823e+00
1.651997226871513e-08	-1.038823e+00
1.751997226871513e-08	-1.038823e+00
1.851997226871513e-08	-1.038823e+00
1.951997226871513e-08	-1.038823e+00
2.051997226871513e-08	-1.038823e+00
2.151997226871513e-08	-1.038823e+00
2.251997226871512e-08	-1.038823e+00
2.351997226871512e-08	-1.038823e+00
2.451997226871512e-08	-1.038823e+00
2.545620235133746e-08	-1.038823e+00
2.645620235133746e-08	-1.038823e+00
2.745620235133746e-08	-1.038823e+00
2.845620235133746e-08	-1.038823e+00
2.945620235133746e-08	-1.038822e+00
3.045620235133746e-08	-1.038822e+00
3.145620235133746e-08	-1.038822e+00
3.245620235133746e-08	-1.038822e+00
3.345620235133746e-08	-1.038822e+00
3.445620235133747e-08	-1.038821e+00
3.545620235133747e-08	-1.038820e+00
3.645620235133747e-08	-1.038820e+00
3.745620235133747e-08	-1.038818e+00
3.845620235133748e-08	-1.038817e+00
3.945620235133748e-08	-1.038815e+00
4.045620235133748e-08	-1.038812e+00
4.145620235133748e-08	-1.038809e+00
4.245620235133749e-08	-1.038805e+00
4.345620235133749e-08	-1.038800e+00
4.445620235133749e-08	-1.038794e+00
4.545620235133749e-08	-1.038787e+00
4.645620235133749e-08	-1.038779e+00
4.745620235133750e-08	-1.038770e+00
4.845620235133750e-08	-1.038758e+00
4.945620235133750e-08	-1.038745e+00
5.045620235133750e-08	-1.038730e+00
5.145620235133751e-08	-1.038713e+00
5.245620235133751e-08	-1.038693e+00
5.345620235133751e-08	-1.038671e+00
5.445620235133751e-08	-1.038645e+00
5.545620235133752e-08	-1.038617e+00
5.645620235133752e-08	-1.038585e+00
5.745620235133752e-08	-1.038550e+00
5.845620235133752e-08	-1.038510e+00
5.945620235133753e-08	-1.038466e+00
6.045620235133753e-08	-1.038418e+00
6.145620235133752e-08	-1.038366e+00
6.245620235133752e-08	-1.038308e+00
6.345620235133751e-08	-1.038245e+00
6.545620235133751e-08	-1.038101e+00
6.745620235133750e-08	-1.037932e+00
6.945620235133749e-08	-1.037736e+00
7.145620235133748e-08	-1.037510e+00
7.345620235133747e-08	-1.037251e+00
7.545620235133746e-08	-1.036956e+00
7.645620235133746e-08	-1.036795e+00
7.745620235133745e-08	-1.036623e+00
7.845620235133745e-08	-1.036442e+00
7.945620235133745e-08	-1.036250e+00
8.045620235133744e-08	-1.036047e+00
8.145620235133744e-08	-1.035832e+00
8.245620235133743e-08	-1.035606e+00
8.345620235133743e-08	-1.035368e+00
8.545620235133742e-08	-1.034855e+00
8.745620235133741e-08	-1.034290e+00
8.945620235133740e-08	-1.033670e+00
9.145620235133739e-08	-1.032992e+00
9.345620235133739e-08	-1.032255e+00
9.545620235133738e-08	-1.031454e+00
9.845620235133736e-08	-1.030130e+00
1.014562023513374e-07	-1.028650e+00
1.044562023513373e-07	-1.027006e+00
1.074562023513373e-07	-1.025190e+00
1.104562023513373e-07	-1.023193e+00
1.144562023513373e-07	-1.020240e+00
1.184562023513373e-07	-1.016937e+00
1.224562023513373e-07	-1.013271e+00
1.274562023513372e-07	-1.008157e+00
1.324562023513372e-07	-1.002431e+00
1.374562023513372e-07	-9.960740e-01
1.434562023513372e-07	-9.875914e-01
1.494562023513371e-07	-9.781592e-01
1.564562023513371e-07	-9.659399e-01
1.644562023513371e-07	-9.503684e-01
1.724562023513370e-07	-9.330986e-01
1.824562023513370e-07	-9.091824e-01
1.934562023513370e-07	-8.800221e-01
2.044562023513369e-07	-8.480875e-01
2.154562023513369e-07	-8.136523e-01
2.254562023513368e-07	-7.804440e-01
2.344562023513368e-07	-7.492292e-01
2.414562023513369e-07	-7.242155e-01
2.464562023513370e-07	-7.060141e-01
2.494562023513370e-07	-6.949767e-01
2.544562023513371e-07	-6.764117e-01
2.584562023513372e-07	-6.614283e-01
2.644562023513374e-07	-6.387771e-01
2.724562023513375e-07	-6.083426e-01
2.814562023513377e-07	-5.739495e-01
2.884562023513379e-07	-5.472078e-01
2.944562023513380e-07	-5.243667e-01
2.984562023513381e-07	-5.092089e-01
3.004562023513382e-07	-5.016568e-01
3.014562023513382e-07	-4.978881e-01
3.034562023513382e-07	-4.903671e-01
3.074562023513383e-07	-4.753959e-01
3.124562023513384e-07	-4.568331e-01
3.194562023513386e-07	-4.311743e-01
3.244562023513387e-07	-4.131157e-01
3.264562023513387e-07	-4.059612e-01
3.284562023513388e-07	-3.988481e-01
3.334562023513389e-07	-3.812560e-01
3.404562023513391e-07	-3.571158e-01
3.504562023513393e-07	-3.237096e-01
3.614562023513395e-07	-2.885653e-01
3.744562023513398e-07	-2.493735e-01
3.884562023513401e-07	-2.101784e-01
4.024562023513404e-07	-1.742236e-01
4.144562023513407e-07	-1.460196e-01
4.254562023513409e-07	-1.222770e-01
4.354562023513412e-07	-1.024171e-01
4.444562023513414e-07	-8.591501e-02
4.524562023513415e-07	-7.230785e-02
4.594562023513417e-07	-6.119749e-02
4.654562023513418e-07	-5.224877e-02
4.704562023513419e-07	-4.518579e-02
4.754562023513421e-07	-3.847220e-02
4.794562023513420e-07	-3.334703e-02
4.824562023513419e-07	-2.964352e-02
4.844562023513419e-07	-2.724028e-02
4.864562023513418e-07	-2.488899e-02
4.894562023513417e-07	-2.145820e-02
4.934562023513416e-07	-1.706027e-02
4.984562023513414e-07	-1.183998e-02
5.024562023513413e-07	-7.879907e-03
5.064562023513412e-07	-4.107072e-03
5.094562023513411e-07	-1.397644e-03
5.114562023513410e-07	3.524340e-04
5.144562023513410e-07	2.894593e-03
5.174562023513409e-07	5.338802e-03
5.214562023513407e-07	8.448428e-03
5.264562023513406e-07	1.210121e-02
5.314562023513404e-07	1.550088e-02
5.364562023513403e-07	1.865477e-02
5.404562023513402e-07	2.100562e-02
5.444562023513400e-07	2.320702e-02
5.474562023513399e-07	2.476191e-02
5.504562023513399e-07	2.623581e-02
5.534562023513398e-07	2.762993e-02
5.564562023513397e-07	2.894544e-02
5.604562023513395e-07	3.057902e-02
5.644562023513394e-07	3.207716e-02
5.694562023513393e-07	3.376269e-02
5.744562023513391e-07	3.524379e-02
5.794562023513390e-07	3.652372e-02
5.854562023513388e-07	3.779785e-02
5.914562023513386e-07	3.878977e-02
5.974562023513384e-07	3.950194e-02
6.034562023513382e-07	3.993567e-02
6.094562023513380e-07	4.009111e-02
6.154562023513379e-07	3.996731e-02
6.214562023513377e-07	3.956219e-02
6.274562023513375e-07	3.887262e-02
6.334562023513373e-07	3.789443e-02
6.394562023513371e-07	3.662243e-02
6.444562023513370e-07	3.533363e-02
6.494562023513368e-07	3.383256e-02
6.544562023513367e-07	3.211479e-02
6.584562023513365e-07	3.058134e-02
6.624562023513364e-07	2.890351e-02
6.654562023513363e-07	2.754873e-02
6.684562023513362e-07	2.610997e-02
6.714562023513361e-07	2.458598e-02
6.744562023513360e-07	2.297546e-02
6.784562023513359e-07	2.069121e-02
6.824562023513358e-07	1.824756e-02
6.874562023513356e-07	1.496378e-02
6.924562023513355e-07	1.141908e-02
6.974562023513353e-07	7.606656e-03
7.014562023513352e-07	4.359279e-03
7.044562023513351e-07	1.806208e-03
7.064562023513351e-07	4.733787e-05
7.094562023513350e-07	-2.677344e-03
7.124562023513349e-07	-5.507055e-03
7.164562023513347e-07	-9.446060e-03
7.214562023513346e-07	-1.464187e-02
7.254562023513345e-07	-1.902064e-02
7.284562023513344e-07	-2.243668e-02
7.314562023513343e-07	-2.596753e-02
7.334562023513342e-07	-2.838597e-02
7.364562023513341e-07	-3.211155e-02
7.404562023513340e-07	-3.726409e-02
7.454562023513339e-07	-4.400715e-02
7.514562023513337e-07	-5.255110e-02
7.584562023513335e-07	-6.315667e-02
7.654562023513332e-07	-7.446501e-02
7.704562023513331e-07	-8.298152e-02
7.744562023513330e-07	-9.006241e-02
7.804562023513328e-07	-1.011361e-01
7.874562023513326e-07	-1.147511e-01
7.964562023513323e-07	-1.333754e-01
8.064562023513320e-07	-1.555695e-01
8.184562023513316e-07	-1.843181e-01
8.314562023513312e-07	-2.180938e-01
8.454562023513308e-07	-2.575389e-01
8.584562023513304e-07	-2.970034e-01
8.694562023513300e-07	-3.325009e-01
8.784562023513298e-07	-3.629519e-01
8.854562023513295e-07	-3.874933e-01
8.904562023513294e-07	-4.054730e-01
8.924562023513293e-07	-4.127683e-01
8.934562023513293e-07	-4.164379e-01
8.954562023513292e-07	-4.238208e-01
8.994562023513291e-07	-4.387597e-01
9.054562023513289e-07	-4.615936e-01
9.144562023513287e-07	-4.967754e-01
9.264562023513283e-07	-5.453439e-01
9.404562023513279e-07	-6.042410e-01
9.514562023513275e-07	-6.520609e-01
9.594562023513279e-07	-6.876148e-01
9.624562023513281e-07	-7.011040e-01
9.674562023513285e-07	-7.237650e-01
9.754562023513291e-07	-7.604585e-01
9.824562023513296e-07	-7.929676e-01
9.884562023513301e-07	-8.211011e-01
9.954562023513306e-07	-8.542024e-01
9.964562023513307e-07	-8.589535e-01
1.003456202351331e-06	-8.923513e-01
1.011456202351332e-06	-9.307820e-01
1.019456202351332e-06	-9.694329e-01
1.027456202351333e-06	-1.008241e+00
1.032456202351333e-06	-1.032549e+00
1.041456202351334e-06	-1.076345e+00
1.050456202351335e-06	-1.120120e+00
1.059456202351335e-06	-1.163782e+00
1.068456202351336e-06	-1.207242e+00
1.077456202351337e-06	-1.250409e+00
1.085456202351337e-06	-1.288463e+00
1.093456202351338e-06	-1.326155e+00
1.101456202351339e-06	-1.363425e+00
1.109456202351339e-06	-1.400216e+00
1.116456202351340e-06	-1.431968e+00
1.123456202351340e-06	-1.463271e+00
1.130456202351341e-06	-1.494090e+00
1.138456202351341e-06	-1.528673e+00
1.147456202351342e-06	-1.566705e+00
1.158456202351343e-06	-1.611835e+00
1.170456202351344e-06	-1.659243e+00
1.185456202351345e-06	-1.715617e+00
1.203456202351346e-06	-1.778716e+00
1.225456202351348e-06	-1.848609e+00
1.246456202351349e-06	-1.907472e+00
1.267456202351351e-06	-1.958353e+00
1.288456202351353e-06	-2.001079e+00
1.308456202351354e-06	-2.034143e+00
1.327456202351356e-06	-2.058719e+00
1.345456202351357e-06	-2.075976e+00
1.362456202351358e-06	-2.087042e+00
1.379456202351359e-06	-2.093210e+00
1.395456202351361e-06	-2.094732e+00
1.411456202351362e-06	-2.092310e+00
1.427456202351363e-06	-2.086165e+00
1.443456202351364e-06	-2.076538e+00
1.460456202351366e-06	-2.062774e+00
1.476456202351367e-06	-2.046769e+00
1.492456202351368e-06	-2.028077e+00
1.508456202351369e-06	-2.006969e+00
1.524456202351370e-06	-1.983714e+00
1.540456202351372e-06	-1.958579e+00
1.556456202351373e-06	-1.931825e+00
1.572456202351374e-06	-1.903707e+00
1.587456202351375e-06	-1.876325e+00
1.602456202351376e-06	-1.848153e+00
1.617456202351377e-06	-1.819375e+00
1.632456202351378e-06	-1.790163e+00
1.646456202351380e-06	-1.762653e+00
1.660456202351381e-06	-1.735033e+00
1.675456202351382e-06	-1.705447e+00
1.694456202351383e-06	-1.668182e+00
1.718456202351385e-06	-1.621788e+00
1.749456202351387e-06	-1.563596e+00
1.788456202351390e-06	-1.494151e+00
1.834456202351394e-06	-1.418858e+00
1.875456202351397e-06	-1.358492e+00
1.913456202351399e-06	-1.308446e+00
1.948456202351402e-06	-1.267340e+00
1.981456202351404e-06	-1.232819e+00
2.012456202351407e-06	-1.203950e+00
2.020456202351407e-06	-1.197035e+00
2.050456202351410e-06	-1.172963e+00
2.078456202351412e-06	-1.153005e+00
2.105456202351414e-06	-1.135888e+00
2.131456202351416e-06	-1.121234e+00
2.156456202351418e-06	-1.108704e+00
2.180456202351419e-06	-1.098005e+00
2.203456202351421e-06	-1.088879e+00
2.225456202351423e-06	-1.081102e+00
2.246456202351424e-06	-1.074480e+00
2.266456202351426e-06	-1.068848e+00
2.285456202351427e-06	-1.064060e+00
2.303456202351429e-06	-1.059994e+00
2.320456202351430e-06	-1.056543e+00
2.336456202351431e-06	-1.053618e+00
2.351456202351432e-06	-1.051140e+00
2.365456202351433e-06	-1.049045e+00
2.379456202351434e-06	-1.047145e+00
2.392456202351435e-06	-1.045546e+00
2.404456202351436e-06	-1.044201e+00
2.415456202351437e-06	-1.043075e+00
2.425456202351438e-06	-1.042133e+00
2.434456202351439e-06	-1.041350e+00
2.442456202351439e-06	-1.040702e+00
2.449456202351440e-06	-1.040171e+00
2.456456202351440e-06	-1.039673e+00
2.462456202351441e-06	-1.039270e+00
2.467456202351441e-06	-1.038952e+00
2.472456202351441e-06	-1.038648e+00
2.478456202351442e-06	-1.038303e+00
2.485456202351442e-06	-1.037926e+00
2.493456202351443e-06	-1.037527e+00
2.502456202351444e-06	-1.037117e+00
2.512456202351444e-06	-1.036708e+00
2.522456202351445e-06	-1.036345e+00
2.531456202351446e-06	-1.036054e+00
2.540456202351446e-06	-1.035796e+00
2.549456202351447e-06	-1.035569e+00
2.558456202351448e-06	-1.035372e+00
2.568456202351449e-06	-1.035183e+00
2.579456202351449e-06	-1.035012e+00
2.591456202351450e-06	-1.034865e+00
2.604456202351451e-06	-1.034748e+00
2.618456202351452e-06	-1.034667e+00
2.633456202351453e-06	-1.034624e+00
2.649456202351455e-06	-1.034624e+00
2.666456202351456e-06	-1.034668e+00
2.685456202351457e-06	-1.034761e+00
2.706456202351459e-06	-1.034907e+00
2.729456202351461e-06	-1.035107e+00
2.756456202351463e-06	-1.035379e+00
2.803456202351466e-06	-1.035900e+00
2.861456202351471e-06	-1.036545e+00
2.905456202351474e-06	-1.036992e+00
2.943456202351477e-06	-1.037333e+00
2.978456202351479e-06	-1.037606e+00
3.011456202351482e-06	-1.037825e+00
3.043456202351484e-06	-1.038005e+00
3.044456202351484e-06	-1.038011e+00
3.076456202351487e-06	-1.038159e+00
3.108456202351489e-06	-1.038281e+00
3.141456202351492e-06	-1.038380e+00
